Conf. Session	Date	Time CST Local Time (UTC/GMT -6 hours )	Poster Session	Virtual Session 	Paper Type 	Track	Board 	Paper ID	Paper Title	1st Author	Status	Changed From	Changed To	Status of Change	Authors	Session	Change To	Change From	Change To	Status of Change																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		CL	CL		2374 CL	Can Large Language Models Transform Computational Social Science?	Authors: Caleb Ziems, William Held, Omar Shaikh, Jiaao Chen, Zhehao Zhang, Diyi Yang						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		DEMO	Demo		08 Demo	TOPICAL: TOPIC Pages AutomagicaLly	['John Michael Giorgi', 'Amanpreet Singh', 'Doug Downey', 'Sergey Feldman', 'Lucy Lu Wang']						Demos B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		DEMO	Demo		13 Demo	EdTec-QBuilder: A Semantic Retrieval Tool for Assembling Vocational Training Exams in German Language	['Alonso Palomino', 'Andreas Fischer', 'Jakub Kuzilek', 'Jarek Nitsch', 'Niels Pinkwart', 'Benjamin Paassen']						Demos B6	Registered Virtual was Demo B6																																																						
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		DEMO	Demo		17 Demo	Edu-ConvoKit: An Open-Source Library for Education Conversation Data	['Rose E Wang', 'Dorottya Demszky']						Demos B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		6	An Interactive Framework for Profiling News Media Sources	['Nikhil Mehta', 'Dan Goldwasser']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		15	Promptly Predicting Structures: The Return of Inference	['Maitrey Mehta', 'Valentina Pyatkin', 'Vivek Srikumar']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		100	MATHSENSEI: A Tool-Augmented Large Language Model for Mathematical Reasoning	['DEBRUP DAS', 'Debopriyo Banerjee', 'Somak Aditya', 'Ashish Kulkarni']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		106	mEdIT: Multilingual Text Editing via Instruction Tuning	['Vipul Raheja', 'Dimitris Alikaniotis', 'Vivek Kulkarni', 'Bashar Alhafni', 'Dhruv Kumar']						Orals I3	Oral I3 was Poster B6	Conf Session B - 06/17 - 11:-12:30	Session I - 06/19 - 09-10:30	Underline to Update																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		109	Corpus Considerations for Annotator Modeling and Scaling	['Sarumi Olufunke Oluyemi', 'Béla Neuendorf', 'Joan Plepi', 'Lucie Flek', 'Jörg Schlötterer', 'Charles Welch']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		126	Topics, Authors, and Institutions in Large Language Model Research: Trends from 17K arXiv Papers	['Rajiv Movva', 'Sidhika Balachandar', 'Kenneth L Peng', 'Gabriel Agostini', 'Nikhil Garg', 'Emma Pierson']						Posters B6																																																							
